IncidntNum,X_pr,Y_pr,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y,geometry,DateTime,Hour
120699315,5981716.000057602,2100114.999965857,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-08-27,00:00:00,TARAVAL,NONE,47TH AV / RIVERA ST,-122.505956832,37.7454557154,POINT (5981716.000057602 2100114.999965857),2012-08-27,0
120588940,6000681.000030477,2110317.000001878,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-07-21,00:00:00,PARK,NONE,BAKER ST / HAYES ST,-122.441110854,37.7745659838,POINT (6000681.000030477 2110317.000001878),2012-07-21,0
120715933,5996572.192734627,2089598.9644255072,CAR THEFT,STOLEN TRUCK,Thursday,2012-09-06,00:00:00,TARAVAL,NONE,100 Block of JOSIAH AV,-122.453827489,37.7174444861,POINT (5996572.192734627 2089598.9644255072),2012-09-06,0
120727687,5993501.000031008,2093638.9999804185,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-10,00:00:00,TARAVAL,NONE,KENWOOD WY / PINEHURST WY,-122.464736313,37.7283608834,POINT (5993501.000031008 2093638.9999804185),2012-09-10,0
120733189,6003944.440888057,2114951.078941516,CAR THEFT,STOLEN TRUCK,Wednesday,2012-09-12,00:00:00,NORTHERN,NONE,1900 Block of BUSH ST,-122.430152638,37.7874753549,POINT (6003944.440888057 2114951.078941516),2012-09-12,0
120765176,6001390.059235537,2098106.134866292,CAR THEFT,STOLEN AUTOMOBILE,Sunday,2012-09-23,00:00:00,INGLESIDE,NONE,0 Block of ORA WY,-122.437783339,37.7410782738,POINT (6001390.059235537 2098106.134866292),2012-09-23,0
120733305,6002670.560539052,2105840.323970618,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-12,00:00:00,MISSION,NONE,0 Block of HARTFORD ST,-122.433908529,37.7623872529,POINT (6002670.560539052 2105840.323970618),2012-09-12,0
120733571,5981940.618874423,2109583.9072870356,CAR THEFT,STOLEN TRUCK,Wednesday,2012-09-12,00:00:00,RICHMOND,NONE,6900 Block of FULTON ST,-122.505882029,37.7714678592,POINT (5981940.618874423 2109583.9072870356),2012-09-12,0
120737642,6005797.192554614,2098979.595738951,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-13,00:00:00,INGLESIDE,NONE,700 Block of SAN JOSE AV,-122.422607103,37.7437262143,POINT (6005797.192554614 2098979.595738951),2012-09-13,0
120739115,5988275.9998865435,2098977.9999978156,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-14,00:00:00,TARAVAL,NONE,26TH AV / TARAVAL ST,-122.483190344,37.7427177681,POINT (5988275.9998865435 2098977.9999978156),2012-09-14,0
120739933,5994721.990020069,2111291.4967084383,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-14,00:00:00,RICHMOND,NONE,600 Block of 45TH AV,-122.461794762,37.7769004684,POINT (5994721.990020069 2111291.4967084383),2012-09-14,0
120740366,6008335.000007101,2118258.000033404,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-14,00:00:00,CENTRAL,NONE,JONES ST / BROADWAY ST,-122.415196324,37.7968030423,POINT (6008335.000007101 2118258.000033404),2012-09-14,0
120742964,6010500.852023642,2103669.651332333,CAR THEFT,STOLEN AUTOMOBILE,Sunday,2012-09-16,00:00:00,MISSION,NONE,2500 Block of 22ND ST,-122.406673345,37.7568683188,POINT (6010500.852023642 2103669.651332333),2012-09-16,0
120743401,6001423.065858848,2092748.9342250435,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-15,00:00:00,INGLESIDE,NONE,700 Block of CAYUGA AV,-122.437285714,37.7263705154,POINT (6001423.065858848 2092748.9342250435),2012-09-15,0
120746455,5984019.814771952,2110339.8418543637,CAR THEFT,STOLEN AUTOMOBILE,Sunday,2012-09-16,00:00:00,RICHMOND,NONE,3700 Block of CABRILLO ST,-122.498745949,37.7736656005,POINT (5984019.814771952 2110339.8418543637),2012-09-16,0
120746869,6002569.9998672325,2121273.0000434136,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-15,00:00:00,NORTHERN,NONE,WEBSTER ST / BEACH ST,-122.435360312,37.8047557685,POINT (6002569.9998672325 2121273.0000434136),2012-09-15,0
120753795,6010659.999887525,2115527.0000199648,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-19,00:00:00,CENTRAL,NONE,SUTTER ST / STOCKTON ST,-122.406958661,37.789434763,POINT (6010659.999887525 2115527.0000199648),2012-09-19,0
120754000,6010649.585441512,2115686.1052798326,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-19,00:00:00,CENTRAL,NONE,400 Block of STOCKTON ST,-122.407005913,37.7898710452,POINT (6010649.585441512 2115686.1052798326),2012-09-19,0
